Turn;CardColor;CardType
19;RED;REVERSE
20;BLUE;FOUR
21;BLUE;SKIP
22;BLUE;DRAW2
23;BLUE;EIGHT
24;WILD;DRAW1
25;WILD;DRAW1
26;YELLOW;SKIP
27;RED;NINE
28;WILD;DRAW1
29;BLUE;SIX
30;WILD;DRAW1
31;YELLOW;THREE
32;WILD;DRAW1
33;WILD;DRAW1
34;YELLOW;EIGHT
35;WILD;DRAW1
36;WILD;DRAW1
37;WILD;DRAW1
38;YELLOW;THREE
39;BLUE;FIVE
39;GREEN;FIVE
40;GREEN;EIGHT
41;BLUE;SELECTCOLOR
42;BLUE;DRAW2
43;BLUE;ZERO
43;ENDOFGAME;12
1;YELLOW;FOUR
2;BLUE;ONE
2;RED;ONE
3;GREEN;SEVEN
4;GREEN;SKIP
5;WILD;DRAW1
6;RED;REVERSE
7;WILD;DRAW1
8;RED;DRAW4
9;YELLOW;SIX
10;WILD;DRAW1
11;WILD;DRAW1
12;RED;FIVE
13;RED;NINE
14;WILD;DRAW1
15;WILD;DRAW1
16;YELLOW;DRAW2
17;WILD;DRAW1
18;WILD;DRAW1
19;BLUE;FOUR
20;GREEN;SKIP
21;WILD;DRAW1
22;WILD;DRAW1
23;BLUE;EIGHT
23;RED;EIGHT
24;RED;SKIP
25;WILD;DRAW1
26;RED;REVERSE
27;WILD;DRAW1
28;BLUE;SKIP
29;BLUE;FIVE
30;YELLOW;NINE
31;WILD;DRAW1
32;BLUE;SELECTCOLOR
33;WILD;DRAW1
34;WILD;DRAW1
35;WILD;DRAW1
36;YELLOW;SELECTCOLOR
37;YELLOW;TWO
38;YELLOW;THREE
39;WILD;DRAW1
40;GREEN;DRAW4
41;GREEN;SIX
41;ENDOFGAME;13
1;GREEN;FOUR
1;RED;FOUR
2;YELLOW;THREE
3;WILD;DRAW1
4;WILD;DRAW1
5;YELLOW;SIX
6;GREEN;ZERO
6;YELLOW;ZERO
7;GREEN;ONE
8;BLUE;SEVEN
8;YELLOW;SEVEN
8;ENDOFGAME;14
1;BLUE;EIGHT
1;YELLOW;EIGHT
2;RED;SKIP
3;RED;SIX
4;BLUE;REVERSE
5;BLUE;TWO
6;WILD;DRAW1
7;YELLOW;SELECTCOLOR
8;YELLOW;ONE
8;ENDOFGAME;15
1;GREEN;EIGHT
2;GREEN;SIX
2;YELLOW;SIX
3;WILD;DRAW1
4;WILD;DRAW1
5;BLUE;REVERSE
5;RED;REVERSE
6;BLUE;ONE
6;YELLOW;ONE
7;WILD;DRAW1
8;BLUE;EIGHT
9;YELLOW;DRAW2
10;BLUE;THREE
11;RED;SELECTCOLOR
12;WILD;DRAW1
13;RED;DRAW4
14;RED;FOUR
14;ENDOFGAME;16
1;GREEN;EIGHT
1;RED;EIGHT
1;YELLOW;EIGHT
2;WILD;DRAW1
3;GREEN;FIVE
3;YELLOW;FIVE
4;YELLOW;REVERSE
5;WILD;DRAW1
6;BLUE;THREE
7;WILD;DRAW1
8;BLUE;SKIP
9;RED;SEVEN
9;YELLOW;SEVEN
9;ENDOFGAME;17
1;RED;SEVEN
2;GREEN;NINE
3;BLUE;SIX
4;BLUE;THREE
4;YELLOW;THREE
5;YELLOW;ONE
5;YELLOW;ONE
6;BLUE;DRAW4
7;BLUE;TWO
7;GREEN;TWO
8;YELLOW;SKIP
8;ENDOFGAME;18
1;BLUE;SELECTCOLOR
2;RED;EIGHT
3;WILD;DRAW1
4;BLUE;SIX
5;GREEN;DRAW2
6;GREEN;FIVE
7;WILD;DRAW1
8;BLUE;ONE
9;BLUE;FIVE
9;BLUE;FIVE
9;RED;FIVE
10;WILD;DRAW1
11;YELLOW;THREE
12;WILD;DRAW1
13;BLUE;FOUR
14;RED;FOUR
15;RED;SKIP
16;BLUE;TWO
16;RED;TWO
17;WILD;DRAW1
18;RED;THREE
19;WILD;DRAW1
20;WILD;DRAW1
21;GREEN;ZERO
22;GREEN;NINE
23;WILD;DRAW1
24;WILD;DRAW1
25;WILD;DRAW1
26;BLUE;SKIP
27;RED;SKIP
28;RED;REVERSE
28;YELLOW;REVERSE
29;WILD;DRAW1
29;ENDOFGAME;19
1;YELLOW;SIX
1;YELLOW;SIX
2;WILD;DRAW1
3;GREEN;SKIP
4;GREEN;NINE
4;RED;NINE
5;WILD;DRAW1
6;WILD;DRAW1
7;RED;THREE
8;RED;FIVE
9;BLUE;FOUR
9;GREEN;FOUR
9;RED;FOUR
9;YELLOW;FOUR
10;RED;THREE
10;YELLOW;THREE
11;YELLOW;ONE
12;RED;EIGHT
12;YELLOW;EIGHT
13;RED;TWO
13;YELLOW;TWO
14;BLUE;FIVE
15;WILD;DRAW1
16;GREEN;DRAW2
17;WILD;DRAW1
18;BLUE;NINE
19;WILD;DRAW1
20;BLUE;TWO
21;GREEN;SEVEN
21;ENDOFGAME;20
1;BLUE;SELECTCOLOR
2;RED;NINE
3;RED;TWO
3;YELLOW;TWO
4;GREEN;ONE
5;BLUE;NINE
6;YELLOW;DRAW2
7;WILD;DRAW1
8;WILD;DRAW1
9;BLUE;SEVEN
9;GREEN;SEVEN
10;RED;SKIP
10;YELLOW;SKIP
11;YELLOW;EIGHT
12;GREEN;FOUR
12;ENDOFGAME;21
1;BLUE;NINE
1;YELLOW;NINE
2;BLUE;THREE
2;GREEN;THREE
3;BLUE;FOUR
3;YELLOW;FOUR
4;RED;SEVEN
4;ENDOFGAME;22
1;GREEN;NINE
2;BLUE;DRAW4
3;BLUE;DRAW2
4;RED;REVERSE
5;YELLOW;SKIP
6;WILD;DRAW1
7;WILD;DRAW1
8;WILD;DRAW1
9;YELLOW;TWO
10;GREEN;FIVE
10;YELLOW;FIVE
11;BLUE;THREE
12;GREEN;ZERO
12;ENDOFGAME;23
1;WILD;DRAW1
2;BLUE;REVERSE
2;YELLOW;REVERSE
3;BLUE;EIGHT
4;GREEN;THREE
4;YELLOW;THREE
5;WILD;DRAW1
6;WILD;DRAW1
7;GREEN;FIVE
8;RED;DRAW2
9;GREEN;FOUR
9;RED;FOUR
10;RED;SIX
11;BLUE;SKIP
11;RED;SKIP
11;ENDOFGAME;24
1;GREEN;FIVE
2;WILD;DRAW1
3;BLUE;SKIP
3;YELLOW;SKIP
4;GREEN;SEVEN
4;YELLOW;SEVEN
5;WILD;DRAW1
6;WILD;DRAW1
7;GREEN;DRAW4
8;GREEN;EIGHT
8;YELLOW;EIGHT
9;YELLOW;FOUR
10;WILD;DRAW1
11;RED;SIX
12;WILD;DRAW1
13;GREEN;FOUR
14;GREEN;SKIP
15;GREEN;REVERSE
16;WILD;DRAW1
17;YELLOW;FOUR
18;WILD;DRAW1
19;GREEN;SEVEN
20;WILD;DRAW1
21;YELLOW;SELECTCOLOR
22;YELLOW;NINE
22;ENDOFGAME;25
1;GREEN;SKIP
2;GREEN;NINE
3;RED;FIVE
3;YELLOW;FIVE
4;YELLOW;ZERO
5;YELLOW;ONE
6;YELLOW;SELECTCOLOR
7;GREEN;SEVEN
8;BLUE;TWO
9;WILD;DRAW1
10;WILD;DRAW1
11;BLUE;SIX
12;WILD;DRAW1
13;RED;THREE
14;RED;SKIP
15;WILD;DRAW1
16;GREEN;SKIP
17;WILD;DRAW1
18;BLUE;SELECTCOLOR
19;WILD;DRAW1
20;WILD;DRAW1
21;WILD;DRAW1
22;GREEN;DRAW2
22;YELLOW;DRAW2
23;YELLOW;THREE
24;GREEN;SEVEN
25;GREEN;FOUR
26;GREEN;TWO
27;GREEN;SIX
28;RED;SKIP
29;WILD;DRAW1
30;YELLOW;DRAW4
31;YELLOW;NINE
31;ENDOFGAME;26
1;BLUE;DRAW4
2;YELLOW;TWO
3;WILD;DRAW1
4;RED;SELECTCOLOR
5;RED;ZERO
6;GREEN;SIX
7;BLUE;SKIP
7;GREEN;SKIP
8;WILD;DRAW1
9;WILD;DRAW1
10;YELLOW;REVERSE
11;BLUE;ONE
12;YELLOW;SEVEN
13;RED;THREE
13;YELLOW;THREE
14;RED;DRAW2
15;RED;EIGHT
16;RED;NINE
17;WILD;DRAW1
18;WILD;DRAW1
19;BLUE;REVERSE
20;RED;FOUR
21;WILD;DRAW1
22;BLUE;SEVEN
23;BLUE;REVERSE
24;BLUE;ZERO
25;RED;TWO
26;WILD;DRAW1
27;WILD;DRAW1
28;RED;SELECTCOLOR
29;YELLOW;SIX
30;WILD;DRAW1
31;RED;FIVE
32;RED;SEVEN
