Turn;CardColor;CardType
37;GREEN;SIX
38;RED;SKIP
39;BLUE;REVERSE
39;ENDOFGAME;51
1;GREEN;SEVEN
1;RED;SEVEN
2;YELLOW;DRAW4
3;GREEN;SKIP
4;GREEN;ONE
5;WILD;DRAW1
6;YELLOW;FOUR
7;YELLOW;REVERSE
8;WILD;DRAW1
9;RED;FIVE
10;WILD;DRAW1
11;BLUE;SKIP
12;WILD;DRAW1
13;WILD;DRAW1
14;BLUE;ONE
15;BLUE;EIGHT
15;YELLOW;EIGHT
16;GREEN;TWO
17;RED;THREE
17;ENDOFGAME;52
1;BLUE;EIGHT
1;YELLOW;EIGHT
2;BLUE;FOUR
2;RED;FOUR
3;RED;DRAW2
4;GREEN;ZERO
5;GREEN;DRAW4
5;ENDOFGAME;53
1;BLUE;SELECTCOLOR
2;YELLOW;ZERO
3;GREEN;TWO
4;BLUE;THREE
4;RED;THREE
5;WILD;DRAW1
6;WILD;DRAW1
7;WILD;DRAW1
8;RED;SIX
9;BLUE;ONE
10;WILD;DRAW1
11;GREEN;FIVE
12;WILD;DRAW1
13;GREEN;SEVEN
13;RED;SEVEN
14;WILD;DRAW1
15;WILD;DRAW1
16;YELLOW;EIGHT
17;RED;REVERSE
17;YELLOW;REVERSE
18;RED;NINE
18;YELLOW;NINE
19;WILD;DRAW1
20;WILD;DRAW1
21;WILD;DRAW1
22;GREEN;SIX
22;GREEN;SIX
23;GREEN;SELECTCOLOR
24;YELLOW;DRAW2
25;GREEN;FOUR
26;GREEN;THREE
27;YELLOW;SEVEN
28;WILD;DRAW1
29;BLUE;SKIP
29;YELLOW;SKIP
30;YELLOW;REVERSE
31;BLUE;FIVE
32;BLUE;TWO
33;WILD;DRAW1
34;GREEN;NINE
35;WILD;DRAW1
36;RED;SKIP
37;RED;FOUR
38;YELLOW;ONE
39;YELLOW;FIVE
39;ENDOFGAME;54
1;RED;FIVE
1;YELLOW;FIVE
2;YELLOW;DRAW4
3;RED;SKIP
4;RED;EIGHT
4;YELLOW;EIGHT
5;GREEN;ZERO
6;YELLOW;NINE
7;GREEN;ONE
8;WILD;DRAW1
9;RED;SELECTCOLOR
10;RED;TWO
11;RED;DRAW2
11;ENDOFGAME;55
1;GREEN;DRAW2
1;YELLOW;DRAW2
2;BLUE;FOUR
3;GREEN;FOUR
4;RED;FIVE
5;GREEN;THREE
6;GREEN;EIGHT
7;BLUE;DRAW4
8;RED;SEVEN
8;YELLOW;SEVEN
9;BLUE;SKIP
10;BLUE;TWO
10;RED;TWO
11;WILD;DRAW1
12;RED;ZERO
13;RED;NINE
14;WILD;DRAW1
15;WILD;DRAW1
16;YELLOW;SIX
16;ENDOFGAME;56
1;BLUE;ZERO
1;GREEN;ZERO
1;YELLOW;ZERO
2;YELLOW;EIGHT
3;BLUE;FOUR
4;RED;ONE
5;RED;THREE
5;ENDOFGAME;57
1;GREEN;TWO
2;BLUE;ZERO
3;BLUE;FOUR
4;BLUE;REVERSE
5;YELLOW;THREE
6;WILD;DRAW1
7;BLUE;SEVEN
7;RED;SEVEN
8;WILD;DRAW1
9;WILD;DRAW1
10;WILD;DRAW1
11;YELLOW;TWO
12;YELLOW;EIGHT
13;WILD;DRAW1
14;GREEN;ONE
15;GREEN;SIX
15;YELLOW;SIX
15;ENDOFGAME;58
1;BLUE;REVERSE
1;GREEN;REVERSE
2;YELLOW;SKIP
3;WILD;DRAW1
4;RED;SELECTCOLOR
5;GREEN;SELECTCOLOR
6;GREEN;EIGHT
7;WILD;DRAW1
8;BLUE;THREE
8;GREEN;THREE
9;YELLOW;FIVE
10;RED;ONE
10;YELLOW;ONE
11;YELLOW;REVERSE
12;WILD;DRAW1
13;WILD;DRAW1
14;WILD;DRAW1
15;WILD;DRAW1
16;RED;ZERO
17;RED;EIGHT
18;GREEN;REVERSE
18;RED;REVERSE
19;WILD;DRAW1
20;YELLOW;NINE
21;RED;FIVE
22;GREEN;SIX
22;RED;SIX
22;ENDOFGAME;59
1;BLUE;NINE
2;YELLOW;DRAW2
3;GREEN;SEVEN
4;WILD;DRAW1
5;YELLOW;EIGHT
6;WILD;DRAW1
7;RED;THREE
8;RED;SKIP
9;BLUE;DRAW4
10;BLUE;DRAW2
11;BLUE;REVERSE
11;RED;REVERSE
12;RED;EIGHT
13;WILD;DRAW1
14;BLUE;FOUR
15;WILD;DRAW1
16;WILD;DRAW1
17;WILD;DRAW1
18;YELLOW;SELECTCOLOR
19;YELLOW;THREE
20;WILD;DRAW1
21;GREEN;REVERSE
22;GREEN;TWO
22;RED;TWO
23;WILD;DRAW1
24;RED;DRAW2
25;WILD;DRAW1
26;WILD;DRAW1
27;WILD;DRAW1
28;WILD;DRAW1
29;WILD;DRAW1
30;WILD;DRAW1
31;RED;FIVE
32;WILD;DRAW1
33;BLUE;SEVEN
34;BLUE;EIGHT
35;BLUE;ONE
36;YELLOW;REVERSE
37;YELLOW;SELECTCOLOR
38;GREEN;TWO
38;YELLOW;TWO
39;GREEN;SIX
39;YELLOW;SIX
40;BLUE;SKIP
40;YELLOW;SKIP
41;WILD;DRAW1
42;WILD;DRAW1
43;YELLOW;NINE
44;GREEN;EIGHT
45;GREEN;ZERO
46;WILD;DRAW1
47;GREEN;SIX
48;RED;FOUR
49;WILD;DRAW1
50;WILD;DRAW1
51;BLUE;THREE
52;GREEN;DRAW2
53;GREEN;FOUR
54;WILD;DRAW1
55;GREEN;THREE
56;WILD;DRAW1
57;WILD;DRAW1
58;WILD;DRAW1
59;BLUE;DRAW4
60;BLUE;FOUR
61;BLUE;TWO
61;RED;TWO
62;BLUE;SKIP
62;RED;SKIP
63;YELLOW;DRAW2
64;YELLOW;REVERSE
65;YELLOW;EIGHT
66;GREEN;FOUR
67;WILD;DRAW1
68;WILD;DRAW1
69;GREEN;SEVEN
70;WILD;DRAW1
71;WILD;DRAW1
72;WILD;DRAW1
72;ENDOFGAME;60
1;GREEN;DRAW4
2;BLUE;ONE
3;BLUE;FIVE
4;GREEN;DRAW2
5;GREEN;REVERSE
6;WILD;DRAW1
7;WILD;DRAW1
8;GREEN;SEVEN
8;GREEN;SEVEN
9;WILD;DRAW1
10;GREEN;THREE
11;RED;SIX
12;WILD;DRAW1
13;BLUE;NINE
14;YELLOW;DRAW2
14;ENDOFGAME;61
1;GREEN;FIVE
2;BLUE;THREE
2;YELLOW;THREE
3;GREEN;DRAW4
4;YELLOW;SEVEN
5;GREEN;SELECTCOLOR
6;GREEN;DRAW2
7;RED;EIGHT
8;BLUE;SIX
8;ENDOFGAME;62
1;YELLOW;DRAW2
2;BLUE;ONE
2;BLUE;ONE
2;YELLOW;ONE
3;GREEN;FOUR
4;BLUE;SKIP
5;GREEN;EIGHT
6;RED;SKIP
7;RED;TWO
8;RED;NINE
9;WILD;DRAW1
10;RED;SIX
11;WILD;DRAW1
12;WILD;DRAW1
13;BLUE;REVERSE
14;GREEN;FIVE
14;RED;FIVE
14;ENDOFGAME;63
1;RED;THREE
2;WILD;DRAW1
3;BLUE;DRAW2
3;BLUE;DRAW2
4;WILD;DRAW1
5;BLUE;SELECTCOLOR
6;RED;SELECTCOLOR
7;BLUE;SIX
7;RED;SIX
8;RED;THREE
9;WILD;DRAW1
10;BLUE;REVERSE
11;GREEN;FIVE
12;WILD;DRAW1
13;YELLOW;NINE
14;YELLOW;ONE
15;BLUE;ZERO
15;YELLOW;ZERO
16;WILD;DRAW1
17;WILD;DRAW1
18;WILD;DRAW1
19;BLUE;FOUR
19;YELLOW;FOUR
20;GREEN;NINE
21;GREEN;EIGHT
21;RED;EIGHT
22;RED;SEVEN
23;BLUE;TWO
24;BLUE;SKIP
25;GREEN;SKIP
26;GREEN;THREE
26;ENDOFGAME;64
1;BLUE;FOUR
1;GREEN;FOUR
1;YELLOW;FOUR
2;BLUE;SKIP
3;WILD;DRAW1
4;GREEN;REVERSE
5;WILD;DRAW1
6;BLUE;ZERO
7;RED;SIX
8;GREEN;EIGHT
9;GREEN;FIVE
9;ENDOFGAME;65
1;YELLOW;NINE
2;WILD;DRAW1
3;BLUE;SEVEN
3;RED;SEVEN
4;WILD;DRAW1
5;YELLOW;DRAW4
6;BLUE;EIGHT
7;RED;ONE
8;BLUE;REVERSE
9;BLUE;THREE
9;YELLOW;THREE
10;WILD;DRAW1
11;BLUE;TWO
12;GREEN;SIX
13;GREEN;FOUR
13;ENDOFGAME;66
1;GREEN;FOUR
1;YELLOW;FOUR
2;GREEN;SIX
2;GREEN;SIX
3;GREEN;FIVE
4;WILD;DRAW1
5;RED;THREE
6;BLUE;EIGHT
6;GREEN;EIGHT
6;ENDOFGAME;67
1;BLUE;REVERSE
2;BLUE;FOUR
2;YELLOW;FOUR
3;YELLOW;NINE
4;GREEN;ZERO
5;RED;FIVE
5;YELLOW;FIVE
6;RED;TWO
6;YELLOW;TWO
7;BLUE;THREE
8;WILD;DRAW1
9;GREEN;THREE
10;GREEN;EIGHT
10;ENDOFGAME;68
1;YELLOW;REVERSE
2;BLUE;SIX
2;RED;SIX
2;RED;SIX
3;BLUE;FOUR
4;BLUE;ONE
5;WILD;DRAW1
6;RED;TWO
7;RED;FIVE
7;ENDOFGAME;69
1;BLUE;SELECTCOLOR
2;YELLOW;REVERSE
3;BLUE;ONE
4;YELLOW;SELECTCOLOR
5;YELLOW;NINE
6;WILD;DRAW1
7;GREEN;DRAW2
8;WILD;DRAW1
9;WILD;DRAW1
10;YELLOW;SKIP
11;YELLOW;FIVE
12;WILD;DRAW1
13;YELLOW;FIVE
14;RED;ZERO
15;WILD;DRAW1
16;WILD;DRAW1
17;GREEN;NINE
18;GREEN;REVERSE
19;WILD;DRAW1
20;WILD;DRAW1
21;RED;EIGHT
22;YELLOW;DRAW4
23;YELLOW;THREE
24;RED;FOUR
25;RED;REVERSE
26;RED;EIGHT
27;YELLOW;DRAW2
28;YELLOW;EIGHT
29;BLUE;SEVEN
29;BLUE;SEVEN
30;BLUE;SKIP
31;BLUE;TWO
32;WILD;DRAW1
33;WILD;DRAW1
34;BLUE;FOUR
35;WILD;DRAW1
36;WILD;DRAW1
37;BLUE;DRAW2
38;WILD;DRAW1
39;GREEN;THREE
40;YELLOW;SIX
41;WILD;DRAW1
42;GREEN;FIVE
43;WILD;DRAW1
44;WILD;DRAW1
45;WILD;DRAW1
46;WILD;DRAW1
47;WILD;DRAW1
48;GREEN;SKIP
49;WILD;DRAW1
50;RED;NINE
51;RED;ONE
52;RED;FOUR
53;BLUE;EIGHT
54;BLUE;DRAW2
54;RED;DRAW2
55;RED;TWO
56;YELLOW;THREE
57;WILD;DRAW1
58;GREEN;SELECTCOLOR
59;GREEN;REVERSE
59;ENDOFGAME;70
1;YELLOW;SIX
2;BLUE;DRAW2
3;YELLOW;FIVE
4;GREEN;DRAW4
5;GREEN;TWO
6;WILD;DRAW1
7;GREEN;NINE
8;BLUE;REVERSE
9;WILD;DRAW1
10;RED;DRAW4
11;RED;THREE
11;ENDOFGAME;71
1;GREEN;SEVEN
1;YELLOW;SEVEN
2;GREEN;SELECTCOLOR
3;GREEN;SKIP
4;BLUE;FIVE
4;BLUE;FIVE
5;YELLOW;FOUR
6;YELLOW;NINE
7;BLUE;ONE
8;WILD;DRAW1
9;YELLOW;ZERO
10;WILD;DRAW1
11;YELLOW;TWO
12;BLUE;SIX
12;GREEN;SIX
12;ENDOFGAME;72
1;BLUE;NINE
1;YELLOW;NINE
2;RED;FIVE
2;YELLOW;FIVE
3;GREEN;ZERO
4;WILD;DRAW1
5;YELLOW;FOUR
6;GREEN;REVERSE
6;RED;REVERSE
7;YELLOW;THREE
8;YELLOW;DRAW2
9;WILD;DRAW1
10;BLUE;REVERSE
11;GREEN;TWO
12;GREEN;FOUR
13;WILD;DRAW1
14;WILD;DRAW1
15;WILD;DRAW1
16;BLUE;SIX
16;YELLOW;SIX
17;YELLOW;EIGHT
18;YELLOW;ONE
19;BLUE;NINE
19;ENDOFGAME;73
1;GREEN;FOUR
1;YELLOW;FOUR
2;BLUE;NINE
2;GREEN;NINE
3;BLUE;THREE
3;RED;THREE
3;YELLOW;THREE
4;YELLOW;DRAW2
5;BLUE;DRAW4
6;BLUE;SKIP
7;WILD;DRAW1
8;BLUE;SEVEN
8;RED;SEVEN
8;ENDOFGAME;74
1;BLUE;DRAW4
2;GREEN;SELECTCOLOR
3;RED;THREE
4;WILD;DRAW1
5;WILD;DRAW1
6;YELLOW;ZERO
7;BLUE;NINE
8;BLUE;FOUR
9;WILD;DRAW1
10;BLUE;ONE
10;YELLOW;ONE
11;WILD;DRAW1
12;GREEN;FOUR
13;GREEN;TWO
14;BLUE;FIVE
14;GREEN;FIVE
15;WILD;DRAW1
16;WILD;DRAW1
17;WILD;DRAW1
18;GREEN;ZERO
19;WILD;DRAW1
20;WILD;DRAW1
21;WILD;DRAW1
22;WILD;DRAW1
23;YELLOW;SEVEN
24;YELLOW;SIX
25;BLUE;SKIP
26;BLUE;THREE
27;WILD;DRAW1
28;RED;DRAW2
29;RED;FIVE
30;RED;FOUR
31;WILD;DRAW1
32;RED;DRAW2
33;WILD;DRAW1
34;YELLOW;EIGHT
35;GREEN;DRAW2
36;GREEN;SKIP
37;GREEN;ONE
37;ENDOFGAME;75
1;RED;SKIP
2;GREEN;DRAW2
3;GREEN;TWO
3;RED;TWO
4;BLUE;EIGHT
5;WILD;DRAW1
6;RED;SEVEN
7;YELLOW;FIVE
8;WILD;DRAW1
9;YELLOW;DRAW4
10;WILD;DRAW1
11;YELLOW;NINE
12;YELLOW;DRAW4
12;ENDOFGAME;76
1;BLUE;ONE
2;BLUE;SIX
2;YELLOW;SIX
3;YELLOW;DRAW2
4;GREEN;EIGHT
5;YELLOW;DRAW4
6;YELLOW;NINE
7;YELLOW;FOUR
8;WILD;DRAW1
9;BLUE;ONE
9;GREEN;ONE
9;RED;ONE
10;BLUE;NINE
10;RED;NINE
11;WILD;DRAW1
12;BLUE;TWO
12;BLUE;TWO
13;RED;FIVE
14;RED;SIX
15;RED;THREE
16;WILD;DRAW1
17;BLUE;SEVEN
18;WILD;DRAW1
19;BLUE;EIGHT
20;WILD;DRAW1
21;GREEN;ZERO
22;GREEN;THREE
22;ENDOFGAME;77
1;RED;SELECTCOLOR
2;YELLOW;SIX
3;BLUE;ONE
4;RED;SEVEN
4;RED;SEVEN
5;BLUE;SELECTCOLOR
6;BLUE;THREE
6;ENDOFGAME;78
1;BLUE;SEVEN
2;BLUE;FOUR
2;GREEN;FOUR
3;RED;DRAW4
4;WILD;DRAW1
5;WILD;DRAW1
6;BLUE;ZERO
7;BLUE;SIX
7;RED;SIX
8;YELLOW;ONE
9;WILD;DRAW1
10;WILD;DRAW1
11;YELLOW;SELECTCOLOR
12;YELLOW;FIVE
13;RED;FOUR
13;ENDOFGAME;79
1;GREEN;FIVE
2;YELLOW;NINE
3;YELLOW;DRAW2
4;YELLOW;THREE
5;BLUE;FOUR
6;WILD;DRAW1
7;WILD;DRAW1
8;YELLOW;SIX
9;RED;ONE
10;WILD;DRAW1
11;BLUE;NINE
11;GREEN;NINE
12;GREEN;DRAW2
13;YELLOW;SELECTCOLOR
14;GREEN;EIGHT
14;YELLOW;EIGHT
15;WILD;DRAW1
16;GREEN;ONE
17;WILD;DRAW1
18;WILD;DRAW1
19;BLUE;TWO
19;RED;TWO
20;WILD;DRAW1
21;WILD;DRAW1
22;RED;SIX
23;BLUE;REVERSE
23;GREEN;REVERSE
23;ENDOFGAME;80
1;BLUE;ONE
1;GREEN;ONE
1;GREEN;ONE
2;BLUE;SKIP
3;BLUE;SEVEN
3;RED;SEVEN
4;BLUE;EIGHT
5;YELLOW;SIX
6;GREEN;FIVE
7;BLUE;FOUR
7;YELLOW;FOUR
7;ENDOFGAME;81
1;BLUE;SKIP
2;YELLOW;NINE
3;BLUE;DRAW4
4;WILD;DRAW1
5;RED;TWO
6;WILD;DRAW1
7;BLUE;SIX
7;RED;SIX
7;YELLOW;SIX
8;WILD;DRAW1
9;YELLOW;SELECTCOLOR
10;YELLOW;DRAW2
11;WILD;DRAW1
12;WILD;DRAW1
13;WILD;DRAW1
14;BLUE;EIGHT
15;WILD;DRAW1
16;RED;DRAW2
17;RED;FOUR
18;WILD;DRAW1
19;YELLOW;DRAW4
20;YELLOW;SIX
21;WILD;DRAW1
22;WILD;DRAW1
23;WILD;DRAW1
24;WILD;DRAW1
25;WILD;DRAW1
26;BLUE;TWO
26;YELLOW;TWO
26;YELLOW;TWO
27;YELLOW;SEVEN
28;WILD;DRAW1
29;GREEN;EIGHT
30;BLUE;ZERO
30;GREEN;ZERO
31;GREEN;SKIP
32;WILD;DRAW1
33;WILD;DRAW1
34;WILD;DRAW1
35;WILD;DRAW1
36;BLUE;SKIP
37;GREEN;TWO
37;RED;TWO
38;GREEN;SKIP
39;BLUE;NINE
40;BLUE;SELECTCOLOR
41;WILD;DRAW1
42;WILD;DRAW1
43;GREEN;THREE
43;RED;THREE
44;WILD;DRAW1
45;YELLOW;SKIP
46;WILD;DRAW1
46;ENDOFGAME;82
1;GREEN;DRAW4
2;GREEN;EIGHT
2;YELLOW;EIGHT
3;GREEN;DRAW2
4;WILD;DRAW1
5;GREEN;TWO
6;YELLOW;REVERSE
7;BLUE;NINE
8;WILD;DRAW1
9;WILD;DRAW1
10;RED;EIGHT
11;RED;SEVEN
11;YELLOW;SEVEN
12;GREEN;SIX
13;YELLOW;FOUR
13;YELLOW;FOUR
14;WILD;DRAW1
15;WILD;DRAW1
16;WILD;DRAW1
17;RED;ZERO
17;YELLOW;ZERO
18;GREEN;THREE
19;WILD;DRAW1
20;BLUE;FOUR
21;WILD;DRAW1
22;WILD;DRAW1
23;BLUE;SIX
24;WILD;DRAW1
25;WILD;DRAW1
26;RED;FIVE
27;BLUE;SKIP
28;WILD;DRAW1
29;WILD;DRAW1
30;YELLOW;NINE
31;RED;ONE
31;YELLOW;ONE
32;GREEN;DRAW2
33;GREEN;THREE
34;WILD;DRAW1
35;WILD;DRAW1
36;RED;SELECTCOLOR
37;RED;SEVEN
38;RED;FOUR
38;ENDOFGAME;83
1;YELLOW;SIX
2;YELLOW;TWO
3;YELLOW;REVERSE
4;GREEN;SKIP
5;GREEN;NINE
6;BLUE;SELECTCOLOR
7;WILD;DRAW1
8;WILD;DRAW1
9;BLUE;EIGHT
10;WILD;DRAW1
11;YELLOW;SELECTCOLOR
12;WILD;DRAW1
13;BLUE;TWO
14;GREEN;SKIP
15;GREEN;REVERSE
16;GREEN;SIX
17;RED;FOUR
17;YELLOW;FOUR
18;BLUE;ONE
19;WILD;DRAW1
20;RED;DRAW2
21;GREEN;EIGHT
21;RED;EIGHT
22;GREEN;SEVEN
22;RED;SEVEN
22;ENDOFGAME;84
1;YELLOW;SIX
2;RED;DRAW4
3;YELLOW;DRAW2
4;WILD;DRAW1
5;GREEN;ONE
5;YELLOW;ONE
6;YELLOW;ONE
7;RED;SEVEN
7;YELLOW;SEVEN
8;WILD;DRAW1
9;WILD;DRAW1
10;GREEN;THREE
10;RED;THREE
10;YELLOW;THREE
11;WILD;DRAW1
12;RED;NINE
12;YELLOW;NINE
13;BLUE;FOUR
14;GREEN;SEVEN
15;WILD;DRAW1
16;WILD;DRAW1
17;WILD;DRAW1
18;WILD;DRAW1
19;WILD;DRAW1
20;WILD;DRAW1
21;WILD;DRAW1
22;WILD;DRAW1
23;GREEN;SEVEN
24;BLUE;NINE
24;GREEN;NINE
25;BLUE;ONE
25;GREEN;ONE
26;WILD;DRAW1
27;GREEN;EIGHT
27;YELLOW;EIGHT
28;YELLOW;FIVE
29;BLUE;SIX
30;WILD;DRAW1
31;YELLOW;TWO
32;WILD;DRAW1
33;BLUE;TWO
34;WILD;DRAW1
35;WILD;DRAW1
36;WILD;DRAW1
37;BLUE;FOUR
37;GREEN;FOUR
38;GREEN;ZERO
39;GREEN;SELECTCOLOR
40;GREEN;SKIP
41;RED;SKIP
42;RED;DRAW2
43;BLUE;FIVE
43;RED;FIVE
43;ENDOFGAME;85
1;YELLOW;EIGHT
2;BLUE;FOUR
2;YELLOW;FOUR
3;RED;FIVE
4;RED;DRAW2
5;BLUE;REVERSE
5;RED;REVERSE
5;ENDOFGAME;86
1;BLUE;SKIP
1;BLUE;SKIP
2;WILD;DRAW1
3;RED;SIX
4;WILD;DRAW1
5;RED;SIX
6;WILD;DRAW1
7;RED;NINE
7;YELLOW;NINE
8;YELLOW;DRAW2
9;GREEN;SEVEN
10;WILD;DRAW1
11;WILD;DRAW1
12;YELLOW;TWO
13;BLUE;DRAW2
14;BLUE;FOUR
15;YELLOW;ONE
16;YELLOW;THREE
17;YELLOW;SIX
17;ENDOFGAME;87
1;RED;SELECTCOLOR
2;WILD;DRAW1
3;RED;TWO
3;YELLOW;TWO
4;WILD;DRAW1
5;BLUE;FIVE
5;GREEN;FIVE
5;YELLOW;FIVE
6;RED;SEVEN
6;YELLOW;SEVEN
7;RED;EIGHT
7;ENDOFGAME;88
1;YELLOW;EIGHT
2;YELLOW;DRAW4
3;BLUE;NINE
4;RED;FIVE
5;WILD;DRAW1
6;WILD;DRAW1
7;WILD;DRAW1
8;BLUE;SELECTCOLOR
9;WILD;DRAW1
10;YELLOW;SIX
11;BLUE;SELECTCOLOR
12;BLUE;THREE
13;BLUE;REVERSE
13;YELLOW;REVERSE
14;YELLOW;TWO
15;WILD;DRAW1
16;GREEN;NINE
17;RED;ONE
18;WILD;DRAW1
19;BLUE;DRAW2
20;BLUE;EIGHT
21;WILD;DRAW1
22;RED;EIGHT
23;RED;THREE
23;YELLOW;THREE
23;ENDOFGAME;89
1;GREEN;SEVEN
2;RED;SELECTCOLOR
3;BLUE;NINE
3;RED;NINE
4;RED;FOUR
5;GREEN;FIVE
6;WILD;DRAW1
7;WILD;DRAW1
8;BLUE;SEVEN
9;WILD;DRAW1
10;WILD;DRAW1
11;YELLOW;DRAW4
12;YELLOW;FIVE
13;BLUE;EIGHT
14;BLUE;SIX
14;ENDOFGAME;90
1;RED;ONE
2;BLUE;SEVEN
3;BLUE;DRAW2
4;GREEN;NINE
5;GREEN;EIGHT
6;BLUE;SIX
7;BLUE;REVERSE
7;ENDOFGAME;91
1;BLUE;NINE
1;YELLOW;NINE
2;YELLOW;SELECTCOLOR
3;RED;FOUR
4;RED;ONE
5;BLUE;TWO
6;YELLOW;THREE
6;ENDOFGAME;92
1;GREEN;SIX
1;GREEN;SIX
2;BLUE;FOUR
2;RED;FOUR
3;BLUE;SEVEN
4;WILD;DRAW1
5;GREEN;EIGHT
5;RED;EIGHT
6;RED;TWO
6;ENDOFGAME;93
1;BLUE;TWO
2;BLUE;FOUR
2;GREEN;FOUR
3;RED;SEVEN
3;YELLOW;SEVEN
4;RED;DRAW4
5;RED;ZERO
6;RED;SKIP
7;WILD;DRAW1
8;WILD;DRAW1
9;GREEN;THREE
10;GREEN;DRAW2
11;WILD;DRAW1
12;GREEN;FIVE
12;RED;FIVE
13;WILD;DRAW1
14;GREEN;REVERSE
15;WILD;DRAW1
16;RED;SKIP
17;WILD;DRAW1
18;YELLOW;SIX
19;GREEN;DRAW4
20;GREEN;THREE
20;ENDOFGAME;94
1;BLUE;FIVE
2;BLUE;THREE
3;RED;NINE
4;YELLOW;SEVEN
5;WILD;DRAW1
6;YELLOW;TWO
7;WILD;DRAW1
8;GREEN;ONE
9;RED;SEVEN
10;RED;EIGHT
11;RED;NINE
12;BLUE;REVERSE
13;WILD;DRAW1
13;ENDOFGAME;95
1;YELLOW;TWO
2;GREEN;NINE
3;BLUE;DRAW4
4;WILD;DRAW1
5;WILD;DRAW1
6;GREEN;REVERSE
6;YELLOW;REVERSE
7;BLUE;FIVE
7;BLUE;FIVE
7;YELLOW;FIVE
7;YELLOW;FIVE
8;BLUE;SKIP
8;BLUE;SKIP
9;BLUE;ZERO
10;WILD;DRAW1
11;WILD;DRAW1
12;YELLOW;EIGHT
13;GREEN;NINE
13;YELLOW;NINE
14;WILD;DRAW1
15;WILD;DRAW1
16;WILD;DRAW1
17;BLUE;DRAW2
18;GREEN;SELECTCOLOR
19;GREEN;FOUR
20;GREEN;ONE
21;GREEN;TWO
22;WILD;DRAW1
23;WILD;DRAW1
24;YELLOW;REVERSE
25;RED;EIGHT
25;YELLOW;EIGHT
26;WILD;DRAW1
27;WILD;DRAW1
28;YELLOW;ONE
29;RED;TWO
30;WILD;DRAW1
31;GREEN;SELECTCOLOR
32;GREEN;SKIP
32;ENDOFGAME;96
1;GREEN;DRAW2
2;BLUE;EIGHT
2;GREEN;EIGHT
3;YELLOW;DRAW4
4;WILD;DRAW1
5;RED;REVERSE
6;BLUE;ZERO
7;WILD;DRAW1
8;WILD;DRAW1
9;YELLOW;NINE
10;YELLOW;FIVE
11;WILD;DRAW1
12;RED;EIGHT
13;RED;SEVEN
13;YELLOW;SEVEN
14;WILD;DRAW1
15;WILD;DRAW1
16;WILD;DRAW1
17;WILD;DRAW1
18;GREEN;TWO
18;GREEN;TWO
19;GREEN;THREE
19;YELLOW;THREE
20;YELLOW;SKIP
21;YELLOW;SEVEN
21;ENDOFGAME;97
1;YELLOW;SIX
2;BLUE;FOUR
3;RED;EIGHT
4;GREEN;DRAW2
5;BLUE;REVERSE
5;RED;REVERSE
5;YELLOW;REVERSE
6;BLUE;SEVEN
6;GREEN;SEVEN
7;YELLOW;FOUR
8;YELLOW;SELECTCOLOR
8;ENDOFGAME;98
1;RED;SEVEN
1;YELLOW;SEVEN
2;YELLOW;SIX
3;RED;TWO
4;BLUE;SKIP
5;BLUE;THREE
6;YELLOW;SKIP
7;RED;ONE
8;GREEN;FOUR
9;WILD;DRAW1
10;BLUE;NINE
10;RED;NINE
11;WILD;DRAW1
12;WILD;DRAW1
13;WILD;DRAW1
14;YELLOW;DRAW4
15;YELLOW;SEVEN
16;GREEN;SIX
17;GREEN;TWO
17;YELLOW;TWO
18;WILD;DRAW1
19;WILD;DRAW1
20;GREEN;FIVE
21;RED;SKIP
22;WILD;DRAW1
23;RED;SIX
24;WILD;DRAW1
25;WILD;DRAW1
26;WILD;DRAW1
27;YELLOW;SELECTCOLOR
28;GREEN;DRAW2
28;YELLOW;DRAW2
29;WILD;DRAW1
30;WILD;DRAW1
31;YELLOW;THREE
32;GREEN;SEVEN
33;BLUE;REVERSE
33;ENDOFGAME;99
